Sample in Buffer,Sample in Window,TRIGGER,design_1_i/design_1_i/usp_rf_data_converter_0_m00_axis_tdata_1[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
927,927,0,120473197023068580
928,928,0,91199421484368280
929,929,0,75436650991452556
930,930,0,57421805799080228
931,931,0,48414434738831548
932,932,0,-257553636723196776
933,933,0,-275568138314515348
934,934,0,-282323606483436500
935,935,0,-310471413394244604
936,936,0,-316101308070429780
937,937,0,-570558346383525796
938,938,0,-580691582982490048
939,939,0,-578439817535883232
940,940,0,-596454456562485256
941,941,0,-598706359460628544
942,942,0,-609965736486701180
943,943,0,-719179573663304204
944,944,0,-727060907375659516
945,945,0,-729312672829082176
946,946,0,-738320129779763704
947,947,0,-731564644443556376
948,948,0,-684275903451302280
949,949,0,-677520589909592452
950,950,0,-677520486831425916
951,951,0,-671891227811187048
952,952,0,-650498751623530828
953,953,0,-478233179610875528
954,954,0,-454589092587832932
955,955,0,-446707432457700876
956,956,0,-427566979422291472
957,957,0,-417433691276641772
958,958,0,-392663601264133576
959,959,0,-117939677421568484
960,960,0,-88666211119464872
961,961,0,-79658805705245020
962,962,0,-70651331564208372
963,963,0,-36873784598921436
964,964,0,255583110024397644
965,965,0,270220152410735492
966,966,0,291612525524681676
967,967,0,299493790514414624
968,968,0,316382632719156288
969,969,0,562958320145270724
970,970,0,575343339386439632
971,971,0,582099271403440132
972,972,0,588854842644760656
973,973,0,604617544425539696
974,974,0,613624623422244936
975,975,0,712705619135826440
976,976,0,728468406810184156
977,977,0,728468183473981940
978,978,0,737475640428333592
979,979,0,727342386648451636
980,980,0,681179906338720112
981,981,0,683431603070568812
982,982,0,678927866005817692
983,983,0,669920460592646504
984,984,0,645150628278176036
985,985,0,474011231053940372
986,986,0,458248185676301956
987,987,0,424471051034429000
988,988,0,419967228062729804
989,989,0,419967039079974352
990,990,0,390693486882194836
991,991,0,123850999827530164
992,992,0,84443918966718852
993,993,0,79940044460392812
994,994,0,61925474144354540
995,995,0,46162497487241444
996,996,0,-255301493309506344
997,997,0,-263183239341605780
998,998,0,-291330908819227648
999,999,0,-316101050367673372
1000,1000,0,-329612038230443096
